k_subset,idx_original,timestamp,rgb_file,depth_file,label_file
0,91,1700000000.000000,rgb/1700000000.000000.png,depth/1700000000.000000.png,labels/1700000000.000000.png
1,98,1700000000.033333,rgb/1700000000.033333.png,depth/1700000000.033333.png,labels/1700000000.033333.png
2,120,1700000000.066667,rgb/1700000000.066667.png,depth/1700000000.066667.png,labels/1700000000.066667.png
3,124,1700000000.100000,rgb/1700000000.100000.png,depth/1700000000.100000.png,labels/1700000000.100000.png
4,131,1700000000.133333,rgb/1700000000.133333.png,depth/1700000000.133333.png,labels/1700000000.133333.png
5,132,1700000000.166667,rgb/1700000000.166667.png,depth/1700000000.166667.png,labels/1700000000.166667.png
6,181,1700000000.200000,rgb/1700000000.200000.png,depth/1700000000.200000.png,labels/1700000000.200000.png
7,237,1700000000.233333,rgb/1700000000.233333.png,depth/1700000000.233333.png,labels/1700000000.233333.png
8,259,1700000000.266667,rgb/1700000000.266667.png,depth/1700000000.266667.png,labels/1700000000.266667.png
9,283,1700000000.300000,rgb/1700000000.300000.png,depth/1700000000.300000.png,labels/1700000000.300000.png
10,325,1700000000.333333,rgb/1700000000.333333.png,depth/1700000000.333333.png,labels/1700000000.333333.png
11,397,1700000000.366667,rgb/1700000000.366667.png,depth/1700000000.366667.png,labels/1700000000.366667.png
12,511,1700000000.400000,rgb/1700000000.400000.png,depth/1700000000.400000.png,labels/1700000000.400000.png
13,526,1700000000.433333,rgb/1700000000.433333.png,depth/1700000000.433333.png,labels/1700000000.433333.png
14,573,1700000000.466667,rgb/1700000000.466667.png,depth/1700000000.466667.png,labels/1700000000.466667.png
15,607,1700000000.500000,rgb/1700000000.500000.png,depth/1700000000.500000.png,labels/1700000000.500000.png
16,615,1700000000.533333,rgb/1700000000.533333.png,depth/1700000000.533333.png,labels/1700000000.533333.png
17,633,1700000000.566667,rgb/1700000000.566667.png,depth/1700000000.566667.png,labels/1700000000.566667.png
18,639,1700000000.600000,rgb/1700000000.600000.png,depth/1700000000.600000.png,labels/1700000000.600000.png
19,644,1700000000.633333,rgb/1700000000.633333.png,depth/1700000000.633333.png,labels/1700000000.633333.png
20,710,1700000000.666667,rgb/1700000000.666667.png,depth/1700000000.666667.png,labels/1700000000.666667.png
21,726,1700000000.700000,rgb/1700000000.700000.png,depth/1700000000.700000.png,labels/1700000000.700000.png
22,742,1700000000.733333,rgb/1700000000.733333.png,depth/1700000000.733333.png,labels/1700000000.733333.png
23,778,1700000000.766667,rgb/1700000000.766667.png,depth/1700000000.766667.png,labels/1700000000.766667.png
24,794,1700000000.800000,rgb/1700000000.800000.png,depth/1700000000.800000.png,labels/1700000000.800000.png
25,908,1700000000.833333,rgb/1700000000.833333.png,depth/1700000000.833333.png,labels/1700000000.833333.png
26,917,1700000000.866667,rgb/1700000000.866667.png,depth/1700000000.866667.png,labels/1700000000.866667.png
27,981,1700000000.900000,rgb/1700000000.900000.png,depth/1700000000.900000.png,labels/1700000000.900000.png
28,1010,1700000000.933333,rgb/1700000000.933333.png,depth/1700000000.933333.png,labels/1700000000.933333.png
29,1014,1700000000.966667,rgb/1700000000.966667.png,depth/1700000000.966667.png,labels/1700000000.966667.png
30,1038,1700000001.000000,rgb/1700000001.000000.png,depth/1700000001.000000.png,labels/1700000001.000000.png
31,1075,1700000001.033333,rgb/1700000001.033333.png,depth/1700000001.033333.png,labels/1700000001.033333.png
32,1084,1700000001.066667,rgb/1700000001.066667.png,depth/1700000001.066667.png,labels/1700000001.066667.png
33,1092,1700000001.100000,rgb/1700000001.100000.png,depth/1700000001.100000.png,labels/1700000001.100000.png
34,1112,1700000001.133333,rgb/1700000001.133333.png,depth/1700000001.133333.png,labels/1700000001.133333.png
35,1127,1700000001.166667,rgb/1700000001.166667.png,depth/1700000001.166667.png,labels/1700000001.166667.png
36,1174,1700000001.200000,rgb/1700000001.200000.png,depth/1700000001.200000.png,labels/1700000001.200000.png
37,1189,1700000001.233333,rgb/1700000001.233333.png,depth/1700000001.233333.png,labels/1700000001.233333.png
38,1190,1700000001.266667,rgb/1700000001.266667.png,depth/1700000001.266667.png,labels/1700000001.266667.png
39,1206,1700000001.300000,rgb/1700000001.300000.png,depth/1700000001.300000.png,labels/1700000001.300000.png
40,1232,1700000001.333333,rgb/1700000001.333333.png,depth/1700000001.333333.png,labels/1700000001.333333.png
41,1273,1700000001.366667,rgb/1700000001.366667.png,depth/1700000001.366667.png,labels/1700000001.366667.png
42,1292,1700000001.400000,rgb/1700000001.400000.png,depth/1700000001.400000.png,labels/1700000001.400000.png
43,1318,1700000001.433333,rgb/1700000001.433333.png,depth/1700000001.433333.png,labels/1700000001.433333.png
44,1376,1700000001.466667,rgb/1700000001.466667.png,depth/1700000001.466667.png,labels/1700000001.466667.png
45,1402,1700000001.500000,rgb/1700000001.500000.png,depth/1700000001.500000.png,labels/1700000001.500000.png
46,1423,1700000001.533333,rgb/1700000001.533333.png,depth/1700000001.533333.png,labels/1700000001.533333.png
47,1424,1700000001.566667,rgb/1700000001.566667.png,depth/1700000001.566667.png,labels/1700000001.566667.png
48,1445,1700000001.600000,rgb/1700000001.600000.png,depth/1700000001.600000.png,labels/1700000001.600000.png
49,1447,1700000001.633333,rgb/1700000001.633333.png,depth/1700000001.633333.png,labels/1700000001.633333.png
