split,index,rgb_path,depth_path,label_path
train,261,images\train_00261.png,depths_png16mm\train_00261.png,labels_png\train_00261.png
train,335,images\train_00335.png,depths_png16mm\train_00335.png,labels_png\train_00335.png
train,438,images\train_00438.png,depths_png16mm\train_00438.png,labels_png\train_00438.png
train,60,images\train_00060.png,depths_png16mm\train_00060.png,labels_png\train_00060.png
train,159,images\train_00159.png,depths_png16mm\train_00159.png,labels_png\train_00159.png
train,862,images\train_00862.png,depths_png16mm\train_00862.png,labels_png\train_00862.png
train,225,images\train_00225.png,depths_png16mm\train_00225.png,labels_png\train_00225.png
train,28,images\train_00028.png,depths_png16mm\train_00028.png,labels_png\train_00028.png
train,9,images\train_00009.png,depths_png16mm\train_00009.png,labels_png\train_00009.png
train,1287,images\train_01287.png,depths_png16mm\train_01287.png,labels_png\train_01287.png
train,705,images\train_00705.png,depths_png16mm\train_00705.png,labels_png\train_00705.png
train,827,images\train_00827.png,depths_png16mm\train_00827.png,labels_png\train_00827.png
train,706,images\train_00706.png,depths_png16mm\train_00706.png,labels_png\train_00706.png
train,897,images\train_00897.png,depths_png16mm\train_00897.png,labels_png\train_00897.png
train,576,images\train_00576.png,depths_png16mm\train_00576.png,labels_png\train_00576.png
train,1057,images\train_01057.png,depths_png16mm\train_01057.png,labels_png\train_01057.png
train,551,images\train_00551.png,depths_png16mm\train_00551.png,labels_png\train_00551.png
train,773,images\train_00773.png,depths_png16mm\train_00773.png,labels_png\train_00773.png
train,1084,images\train_01084.png,depths_png16mm\train_01084.png,labels_png\train_01084.png
train,1122,images\train_01122.png,depths_png16mm\train_01122.png,labels_png\train_01122.png
train,1245,images\train_01245.png,depths_png16mm\train_01245.png,labels_png\train_01245.png
train,1339,images\train_01339.png,depths_png16mm\train_01339.png,labels_png\train_01339.png
train,558,images\train_00558.png,depths_png16mm\train_00558.png,labels_png\train_00558.png
train,1193,images\train_01193.png,depths_png16mm\train_01193.png,labels_png\train_01193.png
train,500,images\train_00500.png,depths_png16mm\train_00500.png,labels_png\train_00500.png
train,205,images\train_00205.png,depths_png16mm\train_00205.png,labels_png\train_00205.png
train,354,images\train_00354.png,depths_png16mm\train_00354.png,labels_png\train_00354.png
train,1062,images\train_01062.png,depths_png16mm\train_01062.png,labels_png\train_01062.png
train,1082,images\train_01082.png,depths_png16mm\train_01082.png,labels_png\train_01082.png
train,604,images\train_00604.png,depths_png16mm\train_00604.png,labels_png\train_00604.png
train,188,images\train_00188.png,depths_png16mm\train_00188.png,labels_png\train_00188.png
train,767,images\train_00767.png,depths_png16mm\train_00767.png,labels_png\train_00767.png
train,1434,images\train_01434.png,depths_png16mm\train_01434.png,labels_png\train_01434.png
train,310,images\train_00310.png,depths_png16mm\train_00310.png,labels_png\train_00310.png
train,537,images\train_00537.png,depths_png16mm\train_00537.png,labels_png\train_00537.png
train,367,images\train_00367.png,depths_png16mm\train_00367.png,labels_png\train_00367.png
train,875,images\train_00875.png,depths_png16mm\train_00875.png,labels_png\train_00875.png
train,1139,images\train_01139.png,depths_png16mm\train_01139.png,labels_png\train_01139.png
train,307,images\train_00307.png,depths_png16mm\train_00307.png,labels_png\train_00307.png
train,936,images\train_00936.png,depths_png16mm\train_00936.png,labels_png\train_00936.png
train,949,images\train_00949.png,depths_png16mm\train_00949.png,labels_png\train_00949.png
train,629,images\train_00629.png,depths_png16mm\train_00629.png,labels_png\train_00629.png
train,1184,images\train_01184.png,depths_png16mm\train_01184.png,labels_png\train_01184.png
train,787,images\train_00787.png,depths_png16mm\train_00787.png,labels_png\train_00787.png
train,405,images\train_00405.png,depths_png16mm\train_00405.png,labels_png\train_00405.png
train,1228,images\train_01228.png,depths_png16mm\train_01228.png,labels_png\train_01228.png
train,107,images\train_00107.png,depths_png16mm\train_00107.png,labels_png\train_00107.png
train,224,images\train_00224.png,depths_png16mm\train_00224.png,labels_png\train_00224.png
train,1243,images\train_01243.png,depths_png16mm\train_01243.png,labels_png\train_01243.png
train,1276,images\train_01276.png,depths_png16mm\train_01276.png,labels_png\train_01276.png
train,660,images\train_00660.png,depths_png16mm\train_00660.png,labels_png\train_00660.png
train,893,images\train_00893.png,depths_png16mm\train_00893.png,labels_png\train_00893.png
train,139,images\train_00139.png,depths_png16mm\train_00139.png,labels_png\train_00139.png
train,382,images\train_00382.png,depths_png16mm\train_00382.png,labels_png\train_00382.png
train,217,images\train_00217.png,depths_png16mm\train_00217.png,labels_png\train_00217.png
train,90,images\train_00090.png,depths_png16mm\train_00090.png,labels_png\train_00090.png
train,406,images\train_00406.png,depths_png16mm\train_00406.png,labels_png\train_00406.png
train,103,images\train_00103.png,depths_png16mm\train_00103.png,labels_png\train_00103.png
train,741,images\train_00741.png,depths_png16mm\train_00741.png,labels_png\train_00741.png
train,678,images\train_00678.png,depths_png16mm\train_00678.png,labels_png\train_00678.png
train,648,images\train_00648.png,depths_png16mm\train_00648.png,labels_png\train_00648.png
train,181,images\train_00181.png,depths_png16mm\train_00181.png,labels_png\train_00181.png
train,743,images\train_00743.png,depths_png16mm\train_00743.png,labels_png\train_00743.png
train,843,images\train_00843.png,depths_png16mm\train_00843.png,labels_png\train_00843.png
train,761,images\train_00761.png,depths_png16mm\train_00761.png,labels_png\train_00761.png
train,245,images\train_00245.png,depths_png16mm\train_00245.png,labels_png\train_00245.png
train,75,images\train_00075.png,depths_png16mm\train_00075.png,labels_png\train_00075.png
train,772,images\train_00772.png,depths_png16mm\train_00772.png,labels_png\train_00772.png
train,1362,images\train_01362.png,depths_png16mm\train_01362.png,labels_png\train_01362.png
train,257,images\train_00257.png,depths_png16mm\train_00257.png,labels_png\train_00257.png
train,847,images\train_00847.png,depths_png16mm\train_00847.png,labels_png\train_00847.png
train,697,images\train_00697.png,depths_png16mm\train_00697.png,labels_png\train_00697.png
train,132,images\train_00132.png,depths_png16mm\train_00132.png,labels_png\train_00132.png
train,439,images\train_00439.png,depths_png16mm\train_00439.png,labels_png\train_00439.png
train,1423,images\train_01423.png,depths_png16mm\train_01423.png,labels_png\train_01423.png
train,200,images\train_00200.png,depths_png16mm\train_00200.png,labels_png\train_00200.png
train,40,images\train_00040.png,depths_png16mm\train_00040.png,labels_png\train_00040.png
train,16,images\train_00016.png,depths_png16mm\train_00016.png,labels_png\train_00016.png
train,408,images\train_00408.png,depths_png16mm\train_00408.png,labels_png\train_00408.png
train,1081,images\train_01081.png,depths_png16mm\train_01081.png,labels_png\train_01081.png
