id,name
1,clase 1
2,clase 2
3,clase 3
4,clase 4
5,clase 5
7,clase 7
9,clase 9
11,clase 11
12,clase 12
13,clase 13
15,clase 15
17,clase 17
19,clase 19
20,clase 20
21,clase 21
22,clase 22
24,clase 24
26,clase 26
27,clase 27
28,clase 28
29,clase 29
32,clase 32
34,clase 34
35,clase 35
36,clase 36
37,clase 37
38,clase 38
39,clase 39
41,clase 41
42,clase 42
46,clase 46
49,clase 49
54,clase 54
55,clase 55
56,clase 56
59,clase 59
60,clase 60
62,clase 62
64,clase 64
65,clase 65
67,clase 67
70,clase 70
74,clase 74
75,clase 75
78,clase 78
80,clase 80
81,clase 81
82,clase 82
83,clase 83
85,clase 85
87,clase 87
88,clase 88
89,clase 89
94,clase 94
98,clase 98
99,clase 99
110,clase 110
113,clase 113
116,clase 116
119,clase 119
120,clase 120
122,clase 122
123,clase 123
124,clase 124
131,clase 131
134,clase 134
135,clase 135
136,clase 136
137,clase 137
138,clase 138
139,clase 139
140,clase 140
141,clase 141
143,clase 143
144,clase 144
148,clase 148
149,clase 149
151,clase 151
154,clase 154
156,clase 156
157,clase 157
158,clase 158
161,clase 161
164,clase 164
169,clase 169
171,clase 171
172,clase 172
174,clase 174
175,clase 175
177,clase 177
179,clase 179
181,clase 181
186,clase 186
193,clase 193
197,clase 197
204,clase 204
208,clase 208
209,clase 209
211,clase 211
212,clase 212
220,clase 220
225,clase 225
226,clase 226
227,clase 227
228,clase 228
229,clase 229
233,clase 233
234,clase 234
235,clase 235
238,clase 238
239,clase 239
240,clase 240
241,clase 241
242,clase 242
243,clase 243
247,clase 247
250,clase 250
258,clase 258
259,clase 259
262,clase 262
263,clase 263
266,clase 266
267,clase 267
273,clase 273
283,clase 283
286,clase 286
294,clase 294
300,clase 300
307,clase 307
312,clase 312
328,clase 328
331,clase 331
343,clase 343
348,clase 348
356,clase 356
373,clase 373
374,clase 374
375,clase 375
376,clase 376
383,clase 383
392,clase 392
395,clase 395
396,clase 396
399,clase 399
434,clase 434
435,clase 435
436,clase 436
437,clase 437
484,clase 484
485,clase 485
486,clase 486
487,clase 487
488,clase 488
568,clase 568
570,clase 570
582,clase 582
583,clase 583
623,clase 623
624,clase 624
625,clase 625
638,clase 638
677,clase 677
678,clase 678
688,clase 688
711,clase 711
771,clase 771
772,clase 772
783,clase 783
796,clase 796
804,clase 804
828,clase 828
865,clase 865
866,clase 866
890,clase 890
